,importance,n,p99_high,p99_low,p_value,stddev
Year,0.00010230654761905396,5.0,0.00046312121425279854,-0.0002585081190146906,0.376960027246298,0.00017523664138220963
Hgt2Rank,9.802827380957316e-05,5.0,0.0020143195347212444,-0.001818262987102098,0.410690705156028,0.0009306840201512898
Hgt2,8.835565476193649e-05,5.0,0.0011481377054525016,-0.0009714263959286285,0.38373871087200007,0.0005147037089506073
R32_OR5_Avg,8.81696428571832e-05,5.0,0.0016013129002740774,-0.001424973614559711,0.6421448496105965,0.0007348873726051422
S16_DE_Avg,8.798363095237811e-05,5.0,0.0030829557124965354,-0.0029069884505917784,0.3929647149155467,0.0014545662832936505
Pts4_Seed_Avg,8.33333333333908e-05,5.0,0.001289371909537639,-0.0011227052428708572,0.6726286000059627,0.0005857360274269104
R32_DR1Rank_Avg,8.091517857145751e-05,5.0,0.0010739251573955678,-0.0009120948002526527,0.38921659327300745,0.00048227455710604986
E8_Off_1_Avg,8.054315476192877e-05,5.0,0.0006360030767418853,-0.0004749167672180277,0.5574441315169881,0.0002697698850723174
AdjOE_Seed_Avg,7.905505952384335e-05,5.0,0.0011009673179284384,-0.0009428571988807518,0.4204962709905633,0.0004963115097865652
DR4,7.087053571434392e-05,5.0,0.0011361029213055676,-0.00099436184987688,0.41540112973125415,0.0005173507698123798
R32_Hgt2_Avg,6.975446428573544e-05,5.0,0.001152962851072345,-0.0010134539225008742,0.37063359120953754,0.0005260811634639204
R32_DR3_Avg,6.380208333331973e-05,5.0,0.0024989255754097046,-0.002371321408743065,0.34517157920944985,0.00118266495673121
R32_Pts5Rank_Avg,6.194196428576474e-05,5.0,0.0012554537034295745,-0.001131569774858045,0.597251048593776,0.0005796521260320658
E8_OR1_Avg,6.04538690476201e-05,5.0,0.0005438893638863303,-0.0004229816257910902,0.4518776465430348,0.00023478982501139615
E8_Pts3Rank_Avg,5.859375000001331e-05,5.0,0.00035896922726743404,-0.0002417817272674074,0.5455193761980747,0.00014588317675941808
DR5Rank_Seed_Avg,5.673363095241394e-05,5.0,0.00042308905327856334,-0.0003096217913737354,0.40022185913172414,0.00017792761685533797
