model,fit_order,fit_time,fit_time_marginal,pred_time_test,pred_time_test_marginal,pred_time_val,pred_time_val_marginal,roc_auc,score_test,score_val,stack_level,log_loss_score,roc_auc_score
NeuralNetTorch_r143_Prune,49.0,1.8357986609141033,1.8357986609141033,0.008743604024251303,0.008743604024251303,0.0059426625569661455,0.0059426625569661455,0.6875088277416405,-0.5955979301891706,-0.5955979301891706,1.0,-0.5955979301891706,0.6875088277416405
NeuralNetTorch_r89_Prune,85.0,0.905121644337972,0.905121644337972,0.00640106201171875,0.00640106201171875,0.005171934763590495,0.005171934763590495,0.6576354022246401,-0.5957265324507968,-0.5957265324507968,1.0,-0.5957265324507968,0.6576354022246401
NeuralNetTorch_r87_Prune,56.0,0.7882017294565836,0.7882017294565836,0.0062808990478515625,0.0062808990478515625,0.004750649134318034,0.004750649134318034,0.6532794492400132,-0.5972827620815341,-0.5972827620815341,1.0,-0.5972827620815342,0.6532794492400132
NeuralNetTorch_r1_Prune,84.0,1.1061469713846843,1.1061469713846843,0.006961901982625325,0.006961901982625325,0.005215088526407878,0.005215088526407878,0.636829807710955,-0.5989631159012141,-0.5989631159012141,1.0,-0.5989631159012142,0.6368298077109549
NeuralNetTorch_r30_Prune,24.0,1.6233409245808919,1.6233409245808919,0.008097569147745768,0.008097569147745768,0.0056811173756917315,0.0056811173756917315,0.6542658321780188,-0.599247181645026,-0.599247181645026,1.0,-0.599247181645026,0.6542658321780189
LightGBMLarge_Prune,10.0,5.597852786382039,5.597852786382039,0.0033082962036132812,0.0033082962036132812,0.0017043749491373699,0.0017043749491373699,0.6386650007830242,-0.5995924792893942,-0.5995924792893942,1.0,-0.5995924792893942,0.6386650007830242
NeuralNetTorch_r19_Prune,80.0,0.32736508051554364,0.32736508051554364,0.005879640579223633,0.005879640579223633,0.004646142323811849,0.004646142323811849,0.645500616669928,-0.5997946455172402,-0.5997946455172402,1.0,-0.5997946455172402,0.6455006166699279
RandomForest_r34_Prune,47.0,0.34807801246643066,0.34807801246643066,0.027173280715942383,0.027173280715942383,0.019167661666870117,0.019167661666870117,0.7044495555907785,-0.600234915648322,-0.600234915648322,1.0,-0.6002349156483221,0.7044495555907785
ExtraTrees_r4_Prune,52.0,0.2000726064046224,0.2000726064046224,0.027989625930786133,0.027989625930786133,0.020041465759277344,0.020041465759277344,0.7146574752757923,-0.6004582450584457,-0.6004582450584457,1.0,-0.6004582450584457,0.7146574752757923
NeuralNetTorch_r76_Prune,70.0,0.3287702401479085,0.3287702401479085,0.005959431330362956,0.005959431330362956,0.0046100616455078125,0.0046100616455078125,0.6571322816866285,-0.6025264979709216,-0.6025264979709216,1.0,-0.6025264979709216,0.6571322816866285
NeuralNetTorch_r197_Prune,42.0,0.2577078342437744,0.2577078342437744,0.0058371225992838545,0.0058371225992838545,0.004827976226806641,0.004827976226806641,0.6622238968641315,-0.6028386432627483,-0.6028386432627483,1.0,-0.6028386432627483,0.6622238968641315
