Year,Team,Conf,Round,Wins,Conf Tourney,Region,Seed,Tempo,RankTempo,AdjTempo,RankAdjTempo,OE,RankOE,AdjOE,RankAdjOE,DE,RankDE,AdjDE,RankAdjDE,AdjEM,RankAdjEM,Off_1,RankOff_1,Off_2,RankOff_2,Off_3,RankOff_3,Def_1,RankDef_1,Def_2,RankDef_2,Def_3,RankDef_3,R32_Actual,S16_Actual,E8_Actual,F4_Actual,NCG_Actual,Winner_Actual,First_Year
2007,Villanova,Big East,1,22,0,East,9,66.6702,179,65.5366,156,107.794,65,113.578,38,96.9255,62,92.8864,17,20.6914,18,25.098,5,43.1373,320,31.7647,90,23.2625,49,42.8571,330,33.8803,31,0.25,0.0,0.0,0.0,0.0,0.0,0
2007,Virginia Tech,ACC,2,21,0,East,5,65.5856,221,63.1958,251,108.64,52,113.073,43,98.4205,82,95.159,32,17.9139,30,20.3426,162,59.6146,14,20.0428,325,19.9157,184,48.7348,244,31.3496,75,0.5,0.25,0.0,0.0,0.0,0.0,0
2007,Illinois,Big Ten,1,23,0,East,12,62.3588,304,61.5558,299,103.046,154,107.542,108,91.5971,9,89.9416,6,17.6003,34,18.8864,239,48.9087,226,32.2049,80,20.8626,130,50.2508,197,28.8867,159,0.5,0.0,0.0,0.0,0.0,0.0,0
2007,Southern Illinois,MVC,3,27,0,East,4,60.5451,325,60.412,315,104.11,135,109.583,88,94.2981,22,89.2996,3,20.283,20,23.2895,40,46.9415,267,29.7689,133,26.6165,6,47.8195,273,25.5639,256,0.75,0.5,0.25,0.25,0.0,0.0,0
2007,Holy Cross,Patriot,1,25,1,East,13,62.1701,308,61.7425,296,102.001,170,103.31,182,91.0011,6,95.6542,42,7.65535,94,23.2151,41,50.3915,197,26.3934,213,22.3873,79,46.4139,304,31.1988,79,0.25,0.25,0.0,0.0,0.0,0.0,0
2007,Duke,ACC,1,22,0,East,6,65.864,212,63.6919,228,105.684,106,112.973,46,92.1972,11,89.3301,4,23.6432,10,20.706,150,53.7236,110,25.5704,235,18.466,247,61.1627,2,20.3713,333,0.5,0.25,0.0,0.0,0.0,0.0,0
2007,VCU,CAA,2,27,1,East,11,65.0829,237,64.6616,192,114.351,11,116.022,22,98.9272,93,101.653,118,14.3693,52,22.0868,82,50.0381,203,27.8751,176,20.2091,164,53.1359,102,26.6551,234,0.5,0.25,0.25,0.25,0.0,0.0,0
2007,Pittsburgh,Big East,3,27,0,East,3,62.6974,297,61.3083,302,112.335,18,118.425,9,98.4763,85,95.5748,40,22.8504,11,18.43,252,55.5176,65,26.0523,220,19.7504,190,52.2375,128,28.012,182,0.75,0.5,0.25,0.25,0.25,0.25,0
2007,Wright State,Horizon,1,23,1,East,14,62.1372,309,62.093,289,102.978,156,104.652,158,98.2345,79,97.6213,59,7.03058,100,19.4353,206,55.1529,72,25.4118,239,19.3564,206,48.1716,261,32.472,53,0.25,0.0,0.0,0.0,0.0,0.0,0
2007,Indiana,Big Ten,2,20,0,East,7,64.2983,261,64.4417,202,109.786,39,116.372,17,96.5124,53,95.3063,36,21.0657,13,19.0561,228,47.2841,262,33.6598,56,26.1881,9,51.6684,146,22.1436,322,0.5,0.5,0.0,0.0,0.0,0.0,0
